Start_Curve_ID,Model,Maturity,Mean_Volatility
10,Diffusion,10Y,0.26234277779744153
10,Diffusion,20Y,0.24865538908043186
10,Diffusion,30Y,0.238293425408954
10,HJM-PCA,1M,0.2317810612103694
10,HJM-PCA,3M,0.19605686576522943
10,HJM-PCA,6M,0.18473178453094977
10,HJM-PCA,1Y,0.18415845118659477
10,HJM-PCA,2Y,0.2225181746401598
10,HJM-PCA,3Y,0.25002133532269755
10,HJM-PCA,5Y,0.27131184116144047
10,HJM-PCA,7Y,0.2730669664605596
10,HJM-PCA,10Y,0.2653888234607008
10,HJM-PCA,20Y,0.24943988833161063
10,HJM-PCA,30Y,0.23546629605006975
10,VAE,1M,0.13912944078910072
10,VAE,3M,0.10463857506471501
10,VAE,6M,0.10026888267468645
10,VAE,1Y,0.09914589750496001
10,VAE,2Y,0.11620585588448107
10,VAE,3Y,0.13297076866709742
10,VAE,5Y,0.15479515996558815
10,VAE,7Y,0.16206680138920385
10,VAE,10Y,0.16007123092250178
10,VAE,20Y,0.15591913919806075
10,VAE,30Y,0.15103734464175952
