simulation_id,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
161,4.177000299510197,4.149143399534134,4.107971542883056,4.027114585413038,3.865695070516253,3.703197213101978,3.443363274809405,3.3220393753201747,3.406598195639558,4.207366659674524,4.207366659674524
162,6.728397596436947,6.694432754375387,6.646149092279866,6.558101231439705,6.407775727877817,6.285282473518096,6.167915121066651,6.231876988016305,6.568449941621887,7.290758457146902,7.290758457146902
163,7.741730584076627,7.834808896494804,7.966473895580825,8.201424524647685,8.559573198748097,8.781376152843618,8.952158991258727,8.923834216978443,8.81155925545866,9.450534473481213,9.450534473481213
164,3.2870847086627943,3.3631146465751836,3.4753703948684342,3.692519343799728,4.090189013035601,4.434644616345304,5.018363780400549,5.49021014300221,5.934039942152223,6.036317463380867,6.036317463380867
165,6.3330177801873475,6.468529984557823,6.662083387646955,7.014603046752047,7.584104729937254,7.987539788710098,8.441988108448422,8.60713715343446,8.657805989668102,9.357511981712952,9.357511981712952
166,-0.06474110249012442,-0.008186151796455847,0.08198044379384323,0.2792914626444053,0.7246919641449278,1.2144591155734243,2.2905281280015823,3.372001016111396,4.551972018158549,4.220171879283444,4.220171879283444
167,5.261667769678511,5.295929585023466,5.341704360876709,5.413079900275859,5.475380768067251,5.440178976717969,5.199593011615407,4.8736061916122475,4.467276165782897,4.953648348721236,4.953648348721236
168,4.516633288509282,4.596494782950684,4.709812691634584,4.913164014762043,5.226764575710495,5.425593413561932,5.599342003518324,5.612854948328341,5.567061475311459,6.114187110684541,6.114187110684541
169,5.198612740398634,5.169780272700691,5.126479737756168,5.0390938230584,4.856473658730238,4.6637156339881605,4.32481062529348,4.114061037644758,4.082813120929446,4.8040226640916055,4.8040226640916055
170,5.894093198638017,5.9616141777716845,6.059497846205549,6.242359437701899,6.551174750228678,6.7833424725211175,7.089494092709278,7.24196518748689,7.204068563508501,6.832330423963602,6.832330423963602
171,3.266356620390959,3.3052707818626104,3.3614362285598838,3.465176643984042,3.633194330640246,3.7481738843218113,3.8924566857613265,3.9825342309112823,4.044909678879896,4.122703417142957,4.122703417142957
172,2.170043791243027,2.1514464431313525,2.129481724037225,2.1050362565319745,2.119670433322381,2.2008516972803145,2.5511777980261865,3.070292178032485,3.8219542126229133,3.981823789793342,3.981823789793342
173,8.487026795851966,8.458890235071374,8.415304786613305,8.32283406940561,8.114035605728205,7.877661417963752,7.4179643902816474,7.072933023183197,6.897017440512247,7.690611421041789,7.690611421041789
174,3.0600403158929113,3.0418769476337397,3.015977007243037,2.9680161073667435,2.8796471912019497,2.7957818786794095,2.6902979155308917,2.686668916468913,2.793025152441404,3.1586897863768204,3.1586897863768204
175,5.628614272423231,5.628475619745967,5.627886805380329,5.624547125461298,5.603038319216334,5.559279149718985,5.468573442808914,5.417190445022672,5.399539639918423,5.623223257781991,5.623223257781991
176,6.67334436868695,6.719898315736726,6.786313798018042,6.906412121442059,7.092200087013234,7.208114185569481,7.318598788586616,7.35205494100031,7.351629434053206,7.639849029700378,7.639849029700378
177,1.6660600441945568,1.6953441228196504,1.7378159666925037,1.8168426887087266,1.9458829414368648,2.035353386800719,2.166791212883635,2.2912018784616217,2.4837720936272656,2.922622323053715,2.922622323053715
178,7.1892498400232165,7.296850613747963,7.450525640296683,7.730242254592777,8.18038064668101,8.49644846083002,8.85777754327632,9.014672874471616,9.149202613930175,9.985316242726963,9.985316242726963
179,6.302407084183234,6.418765299037843,6.586494420550677,6.897275048682753,7.4187016902178025,7.813198861216097,8.328461875741636,8.594811257145746,8.703599339168255,8.893353086941639,8.893353086941639
180,4.057414834601645,4.059378979002107,4.063011034662861,4.071893746999158,4.089498919847974,4.1035490094084475,4.180402159001561,4.358922633060901,4.784886620409427,5.632422953734388,5.632422953734388
181,2.695898466159909,2.7303766532493374,2.7844773878179843,2.8997045606818266,3.146248691771137,3.4006599345593824,3.943328273522172,4.485831610757246,5.051699334797157,4.854584390166774,4.854584390166774
182,4.532158437712909,4.55336277244473,4.586458238845076,4.65615644111387,4.800789365525609,4.944952612503031,5.2715589037246735,5.652985970526295,6.209156483218921,6.658296226433569,6.658296226433569
183,3.9776378911597563,4.038435153949727,4.128775354034405,4.305320833304385,4.633679614809454,4.922753436451275,5.428221334273791,5.849707791637208,6.229715817544405,6.165075194567039,6.165075194567039
184,-1.0755285525979545,-1.051128879253193,-1.0082020550902266,-0.9017995919292237,-0.6239653444245788,-0.28282633481821545,0.5524981816682862,1.4680713760755026,2.538203190685438,2.295310463845417,2.295310463845417
185,2.5797219980246564,2.524838232765723,2.4468449148979965,2.3051231788712285,2.0684310337516,1.883735213177039,1.6961634195515318,1.731702542379581,2.0239565971440476,2.584620176879359,2.584620176879359
186,4.679718667748632,4.658280443499783,4.625163829778757,4.554985720143634,4.394956280967116,4.210575352962251,3.8532374999403665,3.589562096631809,3.446861717735576,4.13694013856021,4.13694013856021
187,7.902384421740654,8.045651962284307,8.24988744301536,8.620435723995401,9.213323008467896,9.624525271288313,10.053783012412639,10.149658504855852,10.040581083077486,10.498236438762092,10.498236438762092
188,3.585511868708904,3.5311231035546635,3.451569123626614,3.298928174103478,3.01297454875925,2.749631280357992,2.3510615844664717,2.1614236232011423,2.2400662567465965,3.141430032749357,3.141430032749357
189,2.6511539473083476,2.628228958553535,2.597250166105373,2.546299831971206,2.4786349879280785,2.4472602611568837,2.523921455743187,2.774997004963942,3.319853369013755,4.074291495908806,4.074291495908806
190,6.431271272728291,6.4459383275206115,6.467913639474526,6.510762846143494,6.584198927133116,6.635616184116899,6.720639806317025,6.799957869852065,6.826913785161845,6.609803393976313,6.609803393976313
191,8.359402757496943,8.4559831379245,8.59432421968551,8.847372121950265,9.257812110873132,9.547876046331199,9.876724928553559,9.991250108626629,9.949373392306745,10.09141303785498,10.09141303785498
192,6.944842157608419,6.89583055132622,6.827082080274588,6.705197175568498,6.511851716616178,6.372132275999697,6.263717503292213,6.3378779610900615,6.543438518035679,6.463760370940336,6.463760370940336
193,4.421017363928641,4.422210199132666,4.427512463582997,4.449187877520993,4.524647123152012,4.629022908721894,4.933286626201438,5.317137079614071,5.788076272056716,5.575539125147382,5.575539125147382
194,5.474511788124403,5.5127487809894555,5.565787880199418,5.656263498389089,5.774178382482448,5.816148381753028,5.786607941755889,5.73398360686576,5.819666825210255,6.932999466258781,6.932999466258781
195,2.4742068696744486,2.5246842788820767,2.6011620836464555,2.7556457299140953,3.061313694284716,3.353951960747071,3.9341695586899252,4.501991837836576,5.186968307224222,5.522336132799399,5.522336132799399
196,4.715002666335525,4.723024985248161,4.735691251945557,4.762316252336231,4.813069400096898,4.855186157980698,4.963492700490087,5.124833269217267,5.392557359505847,5.6976568656877635,5.6976568656877635
197,2.453074083854999,2.3836716147537187,2.286160173540755,2.1132704494739367,1.8436726504484242,1.661420724719818,1.5661091391355333,1.779277981293536,2.4163359516296308,3.2971623059816055,3.2971623059816055
198,6.510222694845208,6.500921358831,6.48708198289781,6.459159685378342,6.397244313463187,6.326822799369538,6.2339418426467095,6.265110807817773,6.573537366785286,7.704945585103099,7.704945585103099
