DATE,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
2002-06-24,1.653148883406488,1.7324746157305182,1.8117688976692266,2.1279,2.9096,3.4672,4.2052,4.7068,5.2202,5.8618,5.7846
2002-06-25,1.7324746157305781,1.7225606196445615,1.8018588315174933,2.0918,2.8865,3.4592,4.2114,4.7192,5.2381,5.8914,5.8221
2002-06-26,1.7126461320975204,1.692815682425865,1.7324746157305213,1.9664,2.7306,3.3106,4.0754,4.589,5.1172,5.8209,5.8001
2002-06-27,1.6928156824258207,1.692815682425865,1.7523011337145438,2.0332,2.8215,3.4005,4.1674,4.6876,5.2229,5.9162,5.8659
2002-06-28,1.6828997202036542,1.692815682425865,1.7423881204043135,2.058,2.8456,3.4232,4.1888,4.7076,5.2423,5.9437,5.9049
2002-07-01,1.70273115304094,1.712646132097579,1.772125686439289,2.0257,2.8214,3.4044,4.1723,4.6916,5.226,5.9242,5.8826
2002-07-02,1.7126461320975204,1.712646132097579,1.7523011337145438,1.9467,2.7134,3.3042,4.0865,4.6109,5.1483,5.8577,5.8301
2002-07-03,1.70273115304094,1.712646132097579,1.7324746157305213,1.9455,2.726,3.3159,4.0929,4.6171,5.1559,5.8608,5.8211
2002-07-05,1.70273115304094,1.712646132097579,1.7622136557099999,2.0503,2.8601,3.4484,4.2174,4.736,5.2676,5.949,5.8926
2002-07-08,1.7225606196444734,1.7225606196445615,1.772125686439289,1.9991,2.7844,3.3765,4.1574,4.6832,5.2214,5.9127,5.8588
2002-07-09,1.7126461320975204,1.712646132097579,1.7423881204043135,1.926,2.6967,3.2867,4.0734,4.6087,5.1596,5.8668,5.8059
2002-07-10,1.7225606196444734,1.712646132097579,1.7324746157305213,1.8229,2.5524,3.1444,3.9418,4.4854,5.0475,5.7892,5.7511
2002-07-11,1.7126461320975204,1.712646132097579,1.7324746157305213,1.8636,2.5672,3.1508,3.944,4.4841,5.0422,5.7831,5.7522
2002-07-12,1.70273115304094,1.7027311530409568,1.7324746157305213,1.8469,2.5259,3.1055,3.9029,4.4476,5.0118,5.7677,5.7442
2002-07-15,1.70273115304094,1.712646132097579,1.7225606196445364,1.8405,2.5186,3.1066,3.9214,4.4777,5.0513,5.8042,5.7627
2002-07-16,1.7324746157305781,1.712646132097579,1.7423881204043135,1.9083,2.619,3.202,4.0093,4.5665,5.1437,5.8926,5.8334
2002-07-17,1.7126461320975204,1.712646132097579,1.7423881204043135,1.8764,2.5684,3.15,3.957,4.5143,5.0939,5.8633,5.8247
2002-07-18,1.7126461320975204,1.712646132097579,1.7324746157305213,1.8072,2.5036,3.0867,3.8936,4.4546,5.0446,5.8586,5.8527
2002-07-19,1.70273115304094,1.7027311530409568,1.7225606196445364,1.7778,2.4457,3.0252,3.8353,4.3987,4.9903,5.8031,5.7942
2002-07-22,1.70273115304094,1.692815682425865,1.7225606196445364,1.7435,2.3581,2.915,3.719,4.2907,4.8986,5.7461,5.7416
2002-07-23,1.7225606196444734,1.692815682425865,1.7027311530409457,1.7123,2.2939,2.8456,3.6608,4.2469,4.873,5.7485,5.7423
2002-07-24,1.6928156824258207,1.6828997202036626,1.6928156824258724,1.7559,2.3302,2.8686,3.6752,4.2644,4.9002,5.8009,5.8009
2002-07-25,1.70273115304094,1.692815682425865,1.6828997202036722,1.6768,2.2241,2.7607,3.5829,4.1915,4.8506,5.7743,5.7552
2002-07-26,1.70273115304094,1.6828997202036626,1.6729832663255315,1.6611,2.1695,2.7066,3.5534,4.1824,4.8626,5.815,5.7958
2002-07-29,1.7225606196444734,1.712646132097579,1.7324746157305213,1.826,2.3907,2.9304,3.7588,4.37,5.0259,5.9106,5.8511
2002-07-30,1.7225606196444734,1.712646132097579,1.7423881204043135,1.8424,2.4173,2.9657,3.7984,4.4028,5.0434,5.8882,5.8161
2002-07-31,1.7225606196444734,1.7027311530409568,1.6928156824258724,1.7066,2.2241,2.7731,3.63,4.2534,4.9128,5.7796,5.7044
2002-08-01,1.6928156824258207,1.6729832663255377,1.6531488834065078,1.6842,2.1486,2.6813,3.5556,4.204,4.8921,5.792,5.704
2002-08-02,1.653148883406488,1.6233936203895232,1.5837130488590896,1.5619,1.9784,2.5009,3.3824,4.044,4.7513,5.6913,5.6143
2002-08-05,1.6729832663255344,1.6333125332786869,1.5837130488590896,1.5335,1.9116,2.4212,3.3083,3.9883,4.7203,5.6756,5.5602
2002-08-06,1.70273115304094,1.6432309542681327,1.593633929835369,1.6552,2.0917,2.6023,3.4667,4.1296,4.8424,5.7437,5.5902
2002-08-07,1.653148883406488,1.5837130488591102,1.5440246030276015,1.548,1.9606,2.4703,3.3559,4.0419,4.7816,5.7172,5.555
2002-08-08,1.6630663207428238,1.6134742155517485,1.5837130488590896,1.6451,2.0791,2.5816,3.4445,4.1113,4.8287,5.7248,5.5542
2002-08-09,1.653148883406488,1.6134742155517485,1.5837130488590896,1.6353,2.0637,2.5426,3.361,4.0015,4.7005,5.6094,5.4764
2002-08-12,1.6729832663255344,1.6729832663255377,1.6333125332786826,1.6361,2.0631,2.5334,3.334,3.9603,4.6449,5.5422,5.4207
2002-08-13,1.6729832663255344,1.6233936203895232,1.5737916757390362,1.5536,1.9753,2.4459,3.2461,3.8724,4.5589,5.4702,5.3619
2002-08-14,1.6729832663255344,1.6333125332786869,1.6035543187166268,1.6553,2.0893,2.5404,3.2888,3.8705,4.509,5.375,5.2991
2002-08-15,1.653148883406488,1.6134742155517485,1.6233936203895325,1.7173,2.1831,2.6388,3.3892,3.9717,4.6095,5.4625,5.372
2002-08-16,1.653148883406488,1.6134742155517485,1.6432309542681058,1.7717,2.2704,2.7514,3.5285,4.12,4.757,5.571,5.4443
2002-08-19,1.6630663207428238,1.663066320742777,1.6729832663255315,1.7366,2.2334,2.7278,3.5144,4.1035,4.733,5.5365,5.4185
2002-08-20,1.6828997202036542,1.6134742155517485,1.6333125332786826,1.6491,2.0997,2.5814,3.3738,3.9769,4.6263,5.4635,5.3449
2002-08-21,1.6729832663255344,1.6233936203895232,1.6432309542681058,1.6797,2.1272,2.6048,3.395,3.9978,4.648,5.4906,5.3766
2002-08-22,1.653148883406488,1.6432309542681327,1.6729832663255315,1.7624,2.2249,2.698,3.4793,4.0796,4.7292,5.5659,5.4409
2002-08-23,1.653148883406488,1.6432309542681327,1.6630663207427707,1.7193,2.1705,2.6403,3.4155,4.0113,4.6583,5.5078,5.4025
2002-08-26,1.6729832663255344,1.6729832663255377,1.6828997202036722,1.7258,2.1591,2.6175,3.3851,3.9794,4.6262,5.4745,5.3653
2002-08-27,1.6828997202036542,1.6729832663255377,1.7027311530409457,1.7758,2.2248,2.6865,3.4598,4.0606,4.713,5.5476,5.4096
2002-08-28,1.70273115304094,1.663066320742777,1.6828997202036722,1.7397,2.1732,2.6309,3.3985,3.9938,4.642,5.4911,5.3794
2002-08-29,1.70273115304094,1.6729832663255377,1.6531488834065078,1.7158,2.1305,2.5702,3.3264,3.9249,4.5822,5.4411,5.3158
2002-08-30,1.6928156824258207,1.6828997202036626,1.6630663207427707,1.7241,2.1109,2.5421,3.2983,3.8994,4.5588,5.4119,5.2744
2002-09-03,1.6828997202036542,1.6333125332786869,1.6134742155517494,1.6366,1.962,2.3666,3.1133,3.7225,4.3996,5.292,5.1595
2002-09-04,1.6828997202036542,1.6233936203895232,1.593633929835369,1.6584,1.9711,2.3632,3.0962,3.7,4.3755,5.2788,5.1584
2002-09-05,1.653148883406488,1.603554318716612,1.5737916757390362,1.6015,1.9045,2.2953,3.0345,3.6465,4.3331,5.2558,5.137
2002-09-06,1.6729832663255344,1.6531488834065406,1.6531488834065078,1.7179,2.0474,2.4448,3.1819,3.7871,4.4633,5.3658,5.2445
2002-09-09,1.6928156824258207,1.6828997202036626,1.6828997202036722,1.7607,2.0841,2.4716,3.1962,3.7933,4.4609,5.3492,5.2247
2002-09-10,1.7126461320975204,1.6729832663255377,1.6729832663255315,1.7479,2.0694,2.4547,3.171,3.7615,4.4245,5.3271,5.228
2002-09-11,1.70273115304094,1.6828997202036626,1.6828997202036722,1.7909,2.1406,2.5331,3.2497,3.8355,4.49,5.3703,5.2629
2002-09-12,1.6928156824258207,1.6828997202036626,1.6729832663255315,1.7526,2.0746,2.4559,3.1626,3.7451,4.4005,5.3005,5.2124
2002-09-13,1.6729832663255344,1.6828997202036626,1.6729832663255315,1.7326,2.0398,2.4122,3.108,3.6837,4.3335,5.2335,5.1538
2002-09-16,1.6828997202036542,1.7027311530409568,1.6828997202036722,1.7534,2.0514,2.4148,3.099,3.6677,4.3115,5.2114,5.1407
2002-09-17,1.6928156824258207,1.692815682425865,1.6828997202036722,1.7546,2.0309,2.3782,3.0559,3.6298,4.2838,5.1971,5.1169
2002-09-18,1.6928156824258207,1.6729832663255377,1.6729832663255315,1.7463,2.0259,2.3724,3.0452,3.6158,4.2705,5.2134,5.1686
2002-09-19,1.633312533278682,1.6432309542681327,1.6333125332786826,1.6615,1.9264,2.2777,2.9672,3.5518,4.22,5.1656,5.0991
2002-09-20,1.633312533278682,1.6432309542681327,1.6333125332786826,1.6746,1.9232,2.2689,2.9591,3.5498,4.2294,5.208,5.158
2002-09-23,1.643230954268162,1.6432309542681327,1.6134742155517494,1.6724,1.8903,2.1995,2.8576,3.4458,4.1365,5.1407,5.0797
2002-09-24,1.6729832663255344,1.6432309542681327,1.6035543187166268,1.6812,1.8982,2.1999,2.8474,3.4322,4.1226,5.1222,5.0476
2002-09-25,1.6630663207428238,1.6531488834065406,1.6233936203895325,1.7227,1.9639,2.2792,2.9409,3.5325,4.2258,5.2081,5.1093
2002-09-26,1.653148883406488,1.6432309542681327,1.6035543187166268,1.6832,1.9467,2.2904,2.9732,3.5591,4.2362,5.2261,5.1934
2002-09-27,1.623393620389554,1.6233936203895232,1.563869810426299,1.5693,1.8117,2.1618,2.8627,3.4639,4.1594,5.1847,5.1628
2002-09-30,1.593633929835379,1.56386981042629,1.5043282797692208,1.4887,1.7048,2.0457,2.7597,3.3843,4.1101,5.1664,5.118
